ID;Text;Time
NE1_D1-1_FRENCH;Attendez, quoi ?;1
NE1_D1-2_FRENCH;Mais oui, quelqu’un vient de lancer le jeu sur son ordinateur !;3
NE1_D2-1_FRENCH;*raclement de gorge*;1
NE1_D2-2_FRENCH;Bonjour ! Et bienvenue !;2,3
NE1_D2-3_FRENCH;Je vous demande juste une petite seconde,;1,4
NE1_D2-4_FRENCH;le temps que je retrouve mon script !;1,5
NE1_D3-1_FRENCH;Pendant ce temps, permettez-moi de me presenter :;2
NE1_D3-2_FRENCH;Je suis Samodeus, le narrateur de cette histoire.;3
NE1_D3-3_FRENCH;Je vous accompagnerai tout au long de votre aventure ;2,5
NE1_D3-4_FRENCH;pour vous guider à travers les magnifiques contrees de Vertumne.;3
NE1_D4-1_FRENCH;Oh, et voila le script !;2
NE1_D4-2_FRENCH;Sans plus attendre, je vous propose de commencer notre voyage !;4
NE1_D5-1_FRENCH;Le voyage vers la forêt de Vertumne est long.;2
NE1_D5-2_FRENCH;Et il l’est d'autant plus pour en atteindre le coeur.;2,5
NE1_D5-3_FRENCH;Heureusement, chanceux comme vous êtes,;2,7
NE1_D5-4_FRENCH;vous n’aurez aucun mal à vous rendre dans cette forêt,;2,5
NE1_D5-5_FRENCH;puisque vous vous y trouvez déjà !;1,5
NE1_D6-1_FRENCH;Ayant été corrompue par la folie des Hommes il y a de ça des siècles,;4
NE1_D6-2_FRENCH;la forêt s’est retrouvée figée dans un automne éternel.;3,3
NE1_D6-3_FRENCH;Nombre d’explorateurs et d’historiens ont tenté;2,3
NE1_D6-4_FRENCH;de la libérer de son mal avant vous… en vain.;3
NE1_D7-1_FRENCH;Les derniers habitants ont fui cette forêt maudite ;2,1
NE1_D7-2_FRENCH;il y a bien longtemps…;1,8
NE1_D7-3_FRENCH;Vertumne regorge de ruines de ce genre.;2,6
NE1_D8-1_FRENCH;Cet endroit vous fascine ?;1,6
NE1_D8-2_FRENCH;Je dirais qu’il s’agit d’une tombe, ou peut-être d’un mémorial.;4
NE1_D8-3_FRENCH;Mon script indique “Grande pierre sans intérêt”;3,4
NE1_D8-4_FRENCH;Je vous conseillerais donc de reprendre la route,;1,8
NE1_D8-5_FRENCH;le meilleur reste à venir !;1,7
NE1_D9-1_FRENCH;Ah ! Je suis content que vous ayez choisi ce chemin !;3,3
NE1_D9-2_FRENCH;Nous avons donc affaire à un joueur curieux !;2,1
NE1_D10-1_FRENCH;Et voici un joli petit point de vue ! Charmant, n’est ce pas ?;3,5
NE1_D11-1_FRENCH;N'êtes-vous pas intrigué;1,1
NE1_D11-2_FRENCH;par ce qu’il y avait au bout du chemin de droite ?;2,8
NE1_D11-3_FRENCH;Et bien soit, continuons notre route !;1,9
NE1_D12-1_FRENCH;Aaah ! Je m’attendais à ce que vous soyiez de nature curieuse !;4,1
NE1_D12-2_FRENCH;On va dire que vous ne l’aviez pas vu, hein ?;1,4
NE1_D13-1_FRENCH;Cela me fait toujours quelque chose lorsque;1,9
NE1_D13-2_FRENCH;je regarde toutes ces ruines…;1,9
NE1_D13-3_FRENCH;Dire que des gens ont bâti ces édifices,;2,1
NE1_D13-4_FRENCH;puis s’y sont réunis pendant des générations;2,3
NE1_D13-5_FRENCH;avant d’être contraints à l’exil.;1,9
NE1_D14-1_FRENCH;Voici ce qui semblait être un lieu de culte…;2,7
NE1_D14-2_FRENCH;Dans l’ancien temps, les Hommes rendaient hommage à Syliva,;3,3
NE1_D14-3_FRENCH;un arbre millénaire abritant l’âme d’une déesse.;3,3
NE1_D16-1_FRENCH;Magnifique joyau, n’est-ce pas ?;2,1
NE1_D16-2_FRENCH;Malgré son apparence minérale,;2
NE1_D16-3_FRENCH;il est entièrement composé de sève de Syliva cristallisée.;4
NE1_D16-4_FRENCH;Vous tenez entre vos mains une offrande de premier choix.;3,5
